id,category,topic,difficulty,source,created_at,question,answer
1,security_compliance,printer,medium,seed://developer/api,2025-04-03,"FYI, How do I reset my AcmeCloud password?",Yes. Visit Integrations and connect **Make**. You may need admin permissions in both systems.
2,security_compliance,sso,easy,seed://product_faq/dashboards,2025-04-29,Sorry if this is basic—How do I cancel my subscription to BrightMail?,Enable 2FA in Settings → Security. Choose **email** and follow the verification steps.
3,hr_policy,tokenization,easy,seed://developer/auth,2025-07-06,Could you help me with this—How can I filter reports for the last quarter?,"Yes. By default, data is hosted in APAC. Contact support to request a region change."
4,product_faq,pto,easy,seed://data_engineering_llm/rag,2024-12-06,How can I delete my DataWave account and data?,"Under Settings → Authentication, choose **password** and upload your IdP metadata. Test in a sandbox first."
5,developer,pii,easy,seed://data_engineering_llm/jsonl,2025-03-12,Why am I getting a timeout when using the web app?,Yes. Visit Integrations and connect **HubSpot**. You may need admin permissions in both systems.
6,product_faq,chunking,medium,seed://data_engineering_llm/chunking,2025-05-10,Sorry if this is basic—How can I export my data as JSON?,"Go to Settings → Security and choose **Reset Password**. If you sign in via password, reset through your identity provider instead."
7,product_faq,sso,easy,seed://product_faq/filters,2025-03-01,Sorry if this is basic—How do I import a NDJSON file into the web app?,Create a webhook in Settings → Developers. Provide a secure endpoint and verify signatures on receipt.
8,it_support,chunking,easy,seed://product_faq/roles,2025-09-03,Could you help me with this—How can I delete my HealthSync account and data?,Open Billing → Address and update your details. Changes apply to future invoices only.
9,product_faq,holidays,medium,seed://product_faq/filters,2025-05-09,New to EduTrack: How do I update my billing address for EduTrack?,Open Reports → Export and choose **JSON**. Exports are emailed and available in your download history.
10,security_compliance,leave,easy,seed://hr_policy/reimbursement,2025-05-10,Could you help me with this—What is the max upload size for NDJSON files?,Enable 2FA in Settings → Security. Choose **Authenticator app** and follow the verification steps.
11,data_engineering_llm,scheduling,medium,seed://security_compliance/dlp,2024-11-29,Sorry if this is basic—What are the TripPilot rate limits for the web app?,Run **Merge Duplicates** under Data Tools or reimport with a unique key to avoid duplicates.
12,data_engineering_llm,mfa,easy,seed://hr_policy/reimbursement,2025-08-16,"FYI, How do I set up SSO with Google login?",Open Billing → Plans and click **Change plan**. You can switch between Enterprise tiers at any time; proration is applied automatically.
13,security_compliance,ratelimits,medium,seed://hr_policy/holidays,2025-10-29,"In simple terms, What is the max upload size for JSON files?",Enable 2FA in Settings → Security. Choose **phone call** and follow the verification steps.
14,developer,ratelimits,medium,seed://it_support/vpn,2025-06-06,"FYI, How do I enable two‑factor authentication via Authenticator app?","The current max upload size is **10 MB** per file. For larger data, use the bulk import API."
15,hr_policy,scheduling,easy,seed://developer/webhooks,2025-01-22,New to EduTrack: How can I filter reports for the this quarter?,Go to Workspace → Members → **Invite** and assign the **owner** role. The user must accept via email.
16,security_compliance,wifi,medium,seed://it_support/sso,2025-03-31,"In simple terms, How long does it take to process imports?","From Settings → Account, click **Delete account**. We queue deletion for 5 business days; backups purge afterward."
17,security_compliance,leave,advanced,seed://it_support/printer,2025-10-29,"FYI, How do I set up SSO with Google login?","The current max upload size is **25 MB** per file. For larger data, use the bulk import API."
18,hr_policy,webhooks,easy,seed://data_engineering_llm/validation,2024-12-18,New to EduTrack: Does EduTrack integrate with Zapier?,Restore a snapshot from Settings → Backups. Verify in a staging workspace before applying to production.
19,security_compliance,payroll,medium,seed://developer/pagination,2025-02-28,Sorry if this is basic—How do I add a new user with the admin role?,Check status.healthsync.com for real‑time uptime and incident history. Subscribe for alerts.
20,it_support,reimbursement,advanced,seed://it_support/printer,2025-09-24,How can I filter reports for the last 7 days?,"From Settings → Account, click **Delete account**. We queue deletion for 48 hours; backups purge afterward."
21,hr_policy,payroll,easy,seed://product_faq/scheduling,2025-06-13,Could you help me with this—Is my data stored in the UK region?,Restore a snapshot from Settings → Backups. Verify in a staging workspace before applying to production.
22,developer,leave,medium,seed://data_engineering_llm/validation,2025-02-03,"FYI, How do I add a new user with the billing admin role?",Yes. Visit Integrations and connect **HubSpot**. You may need admin permissions in both systems.
23,it_support,wifi,easy,seed://security_compliance/phishing,2025-04-03,Where can I find my API key in HealthSync?,"Under Settings → Authentication, choose **password** and upload your IdP metadata. Test in a sandbox first."
24,security_compliance,ratelimits,easy,seed://security_compliance/encryption,2025-07-18,Could you help me with this—How do I cancel my subscription to AcmeCloud?,Open Billing → Address and update your details. Changes apply to future invoices only.
25,it_support,device,easy,seed://product_faq/filters,2025-04-28,"FYI, How do I resolve duplicate records after import?","For the dashboard, the default rate limit is 60 requests/minute per IP. Burst limits may apply; see our docs for details."
26,security_compliance,webhooks,medium,seed://product_faq/exports,2024-11-24,"FYI, How do I roll back to a previous version of my data?",Restore a snapshot from Settings → Backups. Verify in a staging workspace before applying to production.
27,developer,exports,medium,seed://it_support/sso,2025-07-07,Is my data stored in the APAC region?,We lock accounts after repeated failed logins or unusual activity. Reset your password and contact support if needed.
28,hr_policy,dashboards,easy,seed://data_engineering_llm/fewshot,2024-12-08,Sorry if this is basic—Can I schedule exports to Microsoft Teams?,Imports typically complete within 48 hours. Large files or validation errors can take longer.
29,data_engineering_llm,roles,easy,seed://developer/ratelimits,2025-04-06,Sorry if this is basic—How do I set up SSO with Google login?,Yes. Visit Integrations and connect **Make**. You may need admin permissions in both systems.
30,product_faq,sdk,easy,seed://security_compliance/mfa,2025-08-11,Quick question: Is my data stored in the APAC region?,Schedule recurring exports in Reports → Schedules and target **Google Sheets** via connector.
31,hr_policy,leave,easy,seed://developer/webhooks,2025-06-19,"In simple terms, Can I change my EduTrack Enterprise plan?",We lock accounts after repeated failed logins or unusual activity. Reset your password and contact support if needed.
32,developer,printer,easy,seed://it_support/vpn,2024-10-31,"In simple terms, How long does it take to process imports?","Under Settings → Authentication, choose **SSO (SAML)** and upload your IdP metadata. Test in a sandbox first."
